count,tInitial,tFinal,accel_M_x,accel_M_y,accel_M_z,accel_H,gyro_M_x,gyro_M_y,gyro_M_z,mag_M_x,mag_M_y,mag_M_z,temp
203,5308,5316,11,103,927,111,77,28,2,20659,16864,26289,"(11958, -235)"
204,5330,5338,5,106,929,-95,82,26,-1,20539,17031,25971,"(11975, -235)"
205,5352,5360,8,100,916,-207,78,27,0,20521,16822,26247,"(11927, -235)"
206,5374,5382,14,106,930,-47,82,27,-2,20749,16876,26295,"(11912, -235)"
207,5395,5404,2,100,926,-207,83,25,-2,20635,16678,26283,"(11934, -235)"
208,5417,5426,8,108,933,-191,89,20,0,20653,16798,26444,"(11990, -235)"
209,5439,5448,5,113,923,-159,77,28,2,20767,16804,26151,"(11969, -235)"
210,5464,5473,5,113,926,143,78,25,1,20791,16762,25971,"(11951, -235)"
211,5497,5506,6,113,930,-79,85,27,0,20665,16684,26420,"(11953, -235)"
212,5519,5528,3,110,929,15,83,25,1,20851,16732,26175,"(11961, -235)"
213,5541,5549,8,104,930,-191,82,22,0,20719,16696,26139,"(11917, -235)"
214,5563,5571,7,110,939,-47,83,30,1,20958,16846,26235,"(11932, -235)"
215,5585,5593,6,100,928,-335,83,27,0,20749,16750,26360,"(11940, -235)"
216,5607,5615,1,106,935,15,80,26,4,20809,16780,26187,"(11974, -235)"
217,5628,5637,4,102,931,-223,82,28,-1,20587,16762,26253,"(11962, -235)"
218,5650,5659,8,100,933,-143,88,21,-4,20557,16852,26265,"(11990, -235)"
219,5672,5681,4,103,937,-159,78,25,0,20863,16858,26295,"(11975, -235)"
220,5697,5706,5,101,934,-175,88,26,-2,20749,16900,26049,"(11972, -235)"
221,5719,5728,2,109,930,175,84,27,1,20737,16798,25971,"(11916, -235)"
222,5741,5750,1,105,921,271,82,25,1,20671,16726,25906,"(11917, -235)"
223,5763,5771,10,104,927,159,83,27,-1,20689,16900,25941,"(11922, -235)"
224,5789,5798,11,108,929,31,84,32,0,20713,16804,26247,"(11989, -235)"
225,5811,5820,6,108,928,-159,83,27,3,20881,16828,25786,"(11986, -235)"
226,5839,5848,14,108,930,-191,86,28,3,20815,16971,25906,"(11989, -235)"
227,5861,5870,8,111,925,-111,76,27,1,20785,16750,25864,"(11978, -235)"
228,5883,5892,10,100,943,143,85,27,-5,20934,16858,25858,"(11986, -235)"
229,5905,5913,13,108,967,383,86,28,3,20833,16684,26007,"(11906, -235)"
230,5930,5939,4,117,904,-191,84,29,1,20833,16732,26241,"(11939, -235)"
231,5952,5961,6,107,913,-47,85,28,-1,20827,16792,26277,"(11956, -235)"
232,5974,5983,7,116,935,-175,85,25,-1,20958,16726,26115,"(11953, -235)"
233,5996,6005,4,107,920,-143,81,24,1,20845,16648,25882,"(11993, -235)"
234,6018,6027,10,110,932,-287,84,24,3,20928,16534,25696,"(11985, -235)"
235,6040,6049,13,104,924,47,83,28,1,20803,17025,25882,"(11959, -235)"
236,6062,6070,21,109,930,0,78,28,1,20743,16726,25977,"(11956, -235)"
237,6088,6097,20,93,960,-223,82,29,-1,20647,16906,25762,"(11933, -235)"
238,6111,6119,17,86,965,-319,82,26,3,20791,16912,26067,"(11910, -235)"
239,6132,6141,12,93,964,-287,81,24,-1,20635,16912,26241,"(11949, -235)"
240,6158,6166,-1,107,904,-143,86,25,0,20737,16965,25995,"(11958, -235)"
241,6180,6188,2,114,918,-175,80,26,4,21024,16977,26432,"(11981, -235)"
242,6202,6210,3,121,911,159,76,27,-1,20755,16852,25756,"(11973, -235)"
243,6223,6232,2,113,900,-175,83,26,2,20839,16852,26025,"(11974, -235)"
